,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lorengau,PG,-2.0226,147.2712,300.12,83,100,4.52,overcast clouds
1,Lumberton,US,34.6182,-79.0086,306.36,39,48,5.7,scattered clouds
2,Longyearbyen,SJ,78.2186,15.6401,272.06,69,40,8.75,scattered clouds
3,Kruisfontein,ZA,-34.0033,24.7314,288.64,74,14,9.41,few clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,300.13,88,71,1.79,broken clouds
5,Mahébourg,MU,-20.4081,57.7,295.51,94,40,1.54,scattered clouds
6,Vaini,TO,-21.2,-175.2,295.24,88,75,0.51,broken clouds
7,Maceió,BR,-9.6658,-35.7353,299.84,73,20,4.03,few clouds
8,Vaini,TO,-21.2,-175.2,295.24,88,75,0.51,broken clouds
9,Upernavik,GL,72.7868,-56.1549,274.47,92,22,1.1,few clouds
10,Harboøre,DK,56.6175,8.1807,282.09,91,3,6.96,clear sky
11,Jamestown,US,42.097,-79.2353,279.73,94,100,3.58,moderate rain
12,Ostrovnoy,RU,68.0531,39.5131,274.8,91,96,5.95,light rain
13,Bač,RS,45.3919,19.2367,287.21,81,52,3.13,broken clouds
14,Hermanus,ZA,-34.4187,19.2345,289.15,87,1,6.45,light rain
15,Carnarvon,AU,-24.8667,113.6333,293.19,100,40,2.06,scattered clouds
16,Ponta do Sol,PT,32.6667,-17.1,293.55,81,100,1.97,overcast clouds
17,Mataura,NZ,-46.1927,168.8643,282.86,98,100,1.85,light rain
18,College,US,64.8569,-147.8028,281.19,44,90,0.45,overcast clouds
19,Pisco,PE,-13.7,-76.2167,292.18,88,90,4.12,overcast clouds
20,Albany,US,42.6001,-73.9662,284.68,82,100,2.53,moderate rain
21,New Norfolk,AU,-42.7826,147.0587,278.87,72,15,1.34,few clouds
22,Vaini,TO,-21.2,-175.2,295.24,88,75,0.51,broken clouds
23,Hobart,AU,-42.8794,147.3294,279.07,78,75,2.37,broken clouds
24,Rikitea,PF,-23.1203,-134.9692,297.54,73,43,9.42,scattered clouds
25,Yellowknife,CA,62.456,-114.3525,287.44,41,75,3.13,broken clouds
26,Ilebo,CD,-4.3167,20.5833,295.93,61,81,0.66,broken clouds
27,Mar del Plata,AR,-38.0023,-57.5575,288.16,55,0,1.34,clear sky
28,East London,ZA,-33.0153,27.9116,291.11,63,1,5.76,clear sky
29,Hilo,US,19.7297,-155.09,300.26,74,39,2.24,scattered clouds
30,Bengkulu,ID,-3.8004,102.2655,297.45,89,89,0.32,overcast clouds
31,Yerbogachën,RU,61.2767,108.0108,282.48,70,83,3.11,broken clouds
32,Vaini,TO,-21.2,-175.2,295.24,88,75,0.51,broken clouds
33,Rikitea,PF,-23.1203,-134.9692,297.54,73,43,9.42,scattered clouds
34,Ushuaia,AR,-54.8,-68.3,272.96,100,90,13.38,light snow
35,Dunedin,NZ,-45.8742,170.5036,282.48,84,100,1.34,overcast clouds
36,Hong Kong,HK,22.2855,114.1577,303.13,85,89,0.45,overcast clouds
37,Katsuura,JP,35.1333,140.3,295.21,89,100,8.44,overcast clouds
38,Kavieng,PG,-2.5744,150.7967,301.06,79,100,4.85,overcast clouds
39,Lebu,CL,-37.6167,-73.65,285.45,86,98,3.52,overcast clouds
